date,start,high,low,end,sum,money
2016-07-29,21000.00,21780.00,20440.00,21505.00,10889500,229017468500
2016-07-28,22075.00,22600.00,20725.00,21080.00,14209600,304377757000
2016-07-27,22800.00,23240.00,21905.00,22305.00,9722400,218896692000
2016-07-26,22030.00,23890.00,21700.00,23590.00,16633600,380427751500
2016-07-25,23720.00,24555.00,23220.00,23220.00,11321100,267542530500
2016-07-22,27300.00,29920.00,27170.00,28220.00,25412600,726041802000
2016-07-21,29000.00,29280.00,26735.00,28000.00,18304400,518208355500
2016-07-20,29170.00,29980.00,26000.00,27765.00,26137300,732334756500
2016-07-19,31350.00,32700.00,29055.00,31770.00,22663900,703689276000
2016-07-15,26300.00,27800.00,25600.00,27780.00,17780100,476039841000
2016-07-14,22500.00,25960.00,22310.00,25300.00,17595900,430315485000
2016-07-13,21840.00,22510.00,21010.00,21830.00,10446900,228370940500
2016-07-12,21800.00,23045.00,20155.00,22840.00,14181500,308828115500
2016-07-11,18595.00,20270.00,18390.00,20260.00,7478900,147033745500
2016-07-08,16435.00,16670.00,15885.00,16270.00,2924700,47647995000
2016-07-07,14390.00,14945.00,14230.00,14935.00,759700,11152386000
2016-07-06,14005.00,14405.00,13835.00,14380.00,578200,8189571500
2016-07-05,14695.00,14800.00,14390.00,14490.00,421200,6118962500
2016-07-04,14620.00,14835.00,14525.00,14810.00,313300,4618570000
2016-07-01,14705.00,14810.00,14535.00,14660.00,441100,6484219500
2016-06-30,14750.00,14975.00,14585.00,14585.00,575900,8483446000
2016-06-29,14000.00,14480.00,13975.00,14475.00,660600,9450220000
2016-06-28,13515.00,13990.00,13360.00,13835.00,825600,11298824000
2016-06-27,14000.00,14240.00,13725.00,13865.00,1030200,14370107500
2016-06-24,15140.00,15195.00,13605.00,13800.00,919500,13077980000
2016-06-23,14915.00,15055.00,14780.00,14925.00,422100,6288317500
2016-06-22,15085.00,15085.00,14680.00,14875.00,496800,7379687000
2016-06-21,14740.00,15155.00,14630.00,15090.00,401700,6013860000
2016-06-20,14970.00,15100.00,14725.00,14970.00,505800,7567433500
2016-06-17,14750.00,14825.00,14620.00,14685.00,599400,8820306000
2016-06-16,15240.00,15300.00,14555.00,14650.00,615400,9134395000
2016-06-15,15100.00,15280.00,14970.00,15055.00,448900,6797610000
2016-06-14,15300.00,15665.00,15150.00,15225.00,536100,8185834500
2016-06-13,15805.00,15840.00,15355.00,15355.00,488200,7569640000
2016-06-10,16270.00,16285.00,16010.00,16065.00,479800,7749615000
2016-06-09,16400.00,16435.00,16230.00,16285.00,397500,6489518500
2016-06-08,16320.00,16320.00,16010.00,16310.00,485200,7866392500
2016-06-07,15930.00,16245.00,15930.00,16245.00,429400,6925648500
2016-06-06,15450.00,15860.00,15335.00,15845.00,432700,6784795500
2016-06-03,15580.00,15820.00,15575.00,15820.00,323300,5085148500
2016-06-02,16045.00,16150.00,15685.00,15695.00,673800,10684982000
2016-06-01,16200.00,16335.00,15950.00,16055.00,535000,8640719000
2016-05-31,16085.00,16550.00,16010.00,16450.00,989000,16222570500
2016-05-30,16025.00,16035.00,15750.00,16000.00,385000,6121991000
2016-05-27,15895.00,16070.00,15785.00,15860.00,511100,8145312500
2016-05-26,16200.00,16225.00,15830.00,15870.00,276000,4400864500
2016-05-25,15985.00,16145.00,15910.00,15950.00,335900,5382758000
2016-05-24,16055.00,16055.00,15755.00,15785.00,468000,7415136500
2016-05-23,16325.00,16335.00,15895.00,16170.00,394600,6363333500
2016-05-20,16160.00,16400.00,16045.00,16365.00,322800,5255313000
2016-05-19,16360.00,16490.00,16230.00,16340.00,442400,7232019000
2016-05-18,15915.00,16370.00,15885.00,16130.00,604400,9742575500
2016-05-17,15560.00,16010.00,15520.00,16005.00,510400,8087705000
2016-05-16,15540.00,15845.00,15450.00,15605.00,456900,7161531000
2016-05-13,15685.00,15735.00,15350.00,15350.00,461400,7156448500
2016-05-12,15005.00,15565.00,14910.00,15565.00,588500,9044533000
2016-05-11,15360.00,15400.00,15155.00,15200.00,412800,6303247000
2016-05-10,15250.00,15400.00,15015.00,15170.00,626100,9502407500
2016-05-09,15155.00,15425.00,15085.00,15220.00,612500,9363157500
2016-05-06,14940.00,15205.00,14875.00,14990.00,815600,12231252500
2016-05-02,14675.00,15050.00,14675.00,14935.00,1158200,17231365500
2016-04-28,15550.00,15790.00,15040.00,15155.00,2191000,33586614500
2016-04-27,16555.00,16640.00,16360.00,16520.00,517800,8552573500
2016-04-26,16710.00,16880.00,16525.00,16665.00,575400,9599094500
2016-04-25,17230.00,17250.00,16840.00,16890.00,655600,11104740000
2016-04-22,17200.00,17305.00,16935.00,17140.00,749400,12817638000
2016-04-21,17450.00,17475.00,17315.00,17460.00,512700,8928625500
2016-04-20,17210.00,17545.00,16935.00,17220.00,855100,14749765500
2016-04-19,16850.00,17095.00,16740.00,17000.00,577200,9773376000
2016-04-18,16100.00,16565.00,16100.00,16420.00,558500,9153349500
2016-04-15,16705.00,17050.00,16570.00,16905.00,548800,9275166000
2016-04-14,16780.00,17150.00,16685.00,16875.00,1123900,18936058500
2016-04-13,16500.00,16595.00,16170.00,16215.00,618400,10087046500
2016-04-12,15925.00,16350.00,15870.00,16325.00,575000,9326178000
2016-04-11,15790.00,15890.00,15450.00,15855.00,490300,7695190000
2016-04-08,15250.00,16000.00,15205.00,15795.00,935400,14765606500
2016-04-07,14990.00,15540.00,14955.00,15530.00,673800,10356365500
2016-04-06,15010.00,15240.00,14825.00,15095.00,535500,8057616000
2016-04-05,15300.00,15455.00,14990.00,15020.00,569700,8630996000
2016-04-04,15260.00,15730.00,15180.00,15370.00,531500,8209175500
2016-04-01,16035.00,16070.00,15335.00,15395.00,772400,12036210500
2016-03-31,16400.00,16555.00,16000.00,16000.00,667100,10794041000
2016-03-30,16750.00,16930.00,16175.00,16180.00,951700,15699686500
2016-03-29,16945.00,16960.00,16560.00,16800.00,808800,13557049000
2016-03-28,16840.00,17075.00,16745.00,17065.00,503000,8539274000
2016-03-25,16725.00,17070.00,16660.00,16815.00,525400,8845746500
2016-03-24,16270.00,17090.00,16000.00,16855.00,1049800,17531957000
2016-03-23,16685.00,16790.00,16245.00,16350.00,1135200,18671667000
2016-03-22,15660.00,16550.00,15585.00,16515.00,1575600,25668701000
2016-03-18,15540.00,15560.00,15110.00,15265.00,898700,13707837500
2016-03-17,16050.00,16150.00,15240.00,15320.00,908200,14140905500
2016-03-16,15800.00,16035.00,15750.00,15895.00,443300,7057498500
2016-03-15,16000.00,16040.00,15825.00,15910.00,555700,8854125500
2016-03-14,16090.00,16095.00,15870.00,15900.00,642700,10243579000
2016-03-11,15865.00,16215.00,15750.00,16115.00,659800,10559529500
2016-03-10,16005.00,16175.00,15820.00,16100.00,624700,10037019000
2016-03-09,15540.00,15860.00,15520.00,15790.00,459300,7201981000
2016-03-08,15600.00,15980.00,15430.00,15825.00,717700,11289100000
2016-03-07,16745.00,16750.00,15760.00,15805.00,1177300,18817329000
2016-03-04,16640.00,16710.00,16490.00,16665.00,477600,7931977500
2016-03-03,15995.00,16600.00,15815.00,16600.00,859300,14049668000
2016-03-02,15890.00,16080.00,15475.00,15940.00,943800,14937441000
2016-03-01,15590.00,15790.00,15060.00,15390.00,1137200,17455177000
2016-02-29,15245.00,16350.00,15110.00,15815.00,1688200,26713610000
2016-02-26,16400.00,16440.00,15970.00,15970.00,488000,7871951000
2016-02-25,16085.00,16340.00,16060.00,16225.00,483300,7844629000
2016-02-24,15945.00,16315.00,15675.00,16090.00,634800,10159299000
2016-02-23,16670.00,16770.00,16280.00,16310.00,652900,10767913500
2016-02-22,16200.00,16595.00,16130.00,16495.00,708500,11638653500
2016-02-19,16385.00,16400.00,15880.00,16030.00,580400,9333958500
2016-02-18,16310.00,16690.00,16225.00,16540.00,829600,13683596500
2016-02-17,15935.00,16290.00,15295.00,15610.00,926000,14582936500
2016-02-16,15570.00,16190.00,15505.00,15920.00,634500,10137062000
2016-02-15,15350.00,15860.00,15110.00,15750.00,902800,13998224000
2016-02-12,14595.00,14690.00,14000.00,14350.00,1367400,19728498500
2016-02-10,15760.00,16075.00,14985.00,15250.00,1037800,15945519500
2016-02-09,16420.00,16550.00,15740.00,15835.00,1005700,16142897000
2016-02-08,16650.00,17450.00,16605.00,17365.00,662800,11320047000
2016-02-05,16920.00,17255.00,16755.00,17040.00,721500,12274245500
2016-02-04,16565.00,17595.00,16455.00,17195.00,1381700,23583057500
2016-02-03,17480.00,18000.00,16430.00,16885.00,1720000,29451468500
2016-02-02,17105.00,17300.00,16930.00,17175.00,747400,12782459500
2016-02-01,17200.00,17380.00,16905.00,17305.00,864400,14873138500
2016-01-29,15690.00,16870.00,15640.00,16655.00,1607900,26092104500
2016-01-28,15940.00,15970.00,15570.00,15570.00,653900,10276374000
2016-01-27,16200.00,16250.00,15690.00,15780.00,903800,14375820000
2016-01-26,15660.00,16155.00,15530.00,15800.00,1092600,17411574000
2016-01-25,16335.00,16390.00,15845.00,15965.00,798100,12788038000
2016-01-22,15450.00,15955.00,15140.00,15935.00,1289400,20200732500
2016-01-21,15000.00,15755.00,14740.00,14750.00,1219300,18490102000
2016-01-20,15635.00,15830.00,14800.00,14865.00,1486000,22680931000
2016-01-19,15595.00,15990.00,15400.00,15990.00,1492400,23471170000
2016-01-18,14270.00,14755.00,14260.00,14660.00,699600,10151370000
2016-01-15,15125.00,15300.00,14740.00,14870.00,565800,8472582500
2016-01-14,14820.00,14960.00,14590.00,14825.00,822700,12149125000
2016-01-13,15180.00,15620.00,15105.00,15395.00,1142900,17547521500
2016-01-12,14970.00,14995.00,14455.00,14460.00,1278900,18750601000
2016-01-08,15150.00,15745.00,15125.00,15370.00,1024500,15841052500
2016-01-07,15340.00,15640.00,15190.00,15225.00,1171000,18023971500
2016-01-06,15900.00,15940.00,15030.00,15160.00,1810900,27874523500
2016-01-05,16500.00,16705.00,16365.00,16410.00,515700,8496815500
2016-01-04,16550.00,17180.00,16550.00,16655.00,739400,12443282500
2015-12-30,17005.00,17160.00,16740.00,16755.00,467600,7870601500
2015-12-29,16365.00,17015.00,16365.00,16945.00,759700,12778251000
2015-12-28,16340.00,16620.00,16315.00,16450.00,499300,8218936000
2015-12-25,16095.00,16340.00,16075.00,16220.00,429600,6967336000
2015-12-24,16240.00,16565.00,16075.00,16100.00,963900,15625905000
2015-12-22,16415.00,16480.00,16160.00,16260.00,699500,11409058500
2015-12-21,16500.00,16595.00,16210.00,16520.00,986100,16221025000
2015-12-18,17020.00,17500.00,16755.00,16775.00,1101800,18729436500
2015-12-17,17330.00,17380.00,17140.00,17170.00,726600,12522170500
2015-12-16,17130.00,17250.00,16950.00,17105.00,1025300,17533328500
2015-12-15,17345.00,17425.00,16910.00,16910.00,1304400,22302978000
2015-12-14,17515.00,17685.00,17340.00,17655.00,631600,11079110500
2015-12-11,18000.00,18310.00,17900.00,18035.00,662700,11976662500
2015-12-10,18360.00,18435.00,18065.00,18215.00,675500,12316907000
2015-12-09,18300.00,18850.00,18295.00,18675.00,829800,15464964000
2015-12-08,18850.00,18960.00,18265.00,18355.00,867200,16046083500
2015-12-07,19000.00,19115.00,18870.00,18910.00,598600,11369475500
2015-12-04,19045.00,19165.00,18930.00,18980.00,663600,12628697000
2015-12-03,19260.00,19535.00,19170.00,19340.00,717600,13874699000
2015-12-02,19190.00,19385.00,19095.00,19330.00,444600,8581378000
2015-12-01,19000.00,19345.00,19000.00,19235.00,701200,13479656500
2015-11-30,19190.00,19200.00,18905.00,18905.00,708900,13461744500
2015-11-27,19665.00,19700.00,19185.00,19230.00,677000,13059358000
2015-11-26,19530.00,19865.00,19530.00,19680.00,516200,10169528500
2015-11-25,19165.00,19550.00,19160.00,19435.00,665500,12906227000
2015-11-24,19300.00,19420.00,19215.00,19325.00,521500,10079264000
2015-11-20,19250.00,19365.00,19120.00,19365.00,630200,12135137000
2015-11-19,19445.00,19445.00,19155.00,19260.00,567100,10935434000
2015-11-18,19330.00,19410.00,19030.00,19270.00,731300,14047304500
2015-11-17,19655.00,19685.00,19235.00,19250.00,1027200,19945094000
2015-11-16,19685.00,19700.00,19375.00,19450.00,929200,18136836000
2015-11-13,19970.00,20300.00,19835.00,20185.00,492900,9915267500
2015-11-12,20500.00,20500.00,20080.00,20080.00,792600,16046903000
2015-11-11,20400.00,20660.00,20370.00,20530.00,521500,10696136000
2015-11-10,20615.00,20730.00,20260.00,20400.00,733600,14993267500
2015-11-09,20350.00,20825.00,20250.00,20820.00,1092100,22486169500
2015-11-06,20100.00,20130.00,19745.00,20025.00,809800,16180787500
2015-11-05,19800.00,20015.00,19715.00,19925.00,1040900,20692027000
2015-11-04,19695.00,19885.00,19465.00,19675.00,1258200,24781515000
2015-11-02,19305.00,19650.00,18935.00,19415.00,1909400,36978678500
2015-10-30,20300.00,20300.00,19010.00,19480.00,3939800,76816601500
2015-10-29,23600.00,23615.00,20085.00,20945.00,3983200,84562972000
2015-10-28,22960.00,23190.00,22320.00,23010.00,703600,16107097500
2015-10-27,23900.00,23925.00,23210.00,23235.00,663600,15602246500
2015-10-26,23920.00,24360.00,23855.00,24010.00,714900,17255841500
2015-10-23,23700.00,23850.00,23580.00,23615.00,537700,12737830000
2015-10-22,23185.00,23465.00,23085.00,23165.00,306800,7133073000
2015-10-21,23500.00,23570.00,22955.00,23360.00,628200,14642868500
2015-10-20,23095.00,23350.00,22815.00,23300.00,549700,12731044500
2015-10-19,23175.00,23470.00,23005.00,23270.00,650600,15151284000
2015-10-16,22460.00,23145.00,22385.00,22845.00,900500,20523162500
2015-10-15,21480.00,22095.00,21310.00,21975.00,498500,10872400000
2015-10-14,21870.00,22300.00,21290.00,21370.00,648200,14057117500
2015-10-13,21390.00,22110.00,21335.00,22045.00,560600,12258649000
2015-10-09,21000.00,21400.00,20720.00,21380.00,495300,10469523500
2015-10-08,21105.00,21140.00,20755.00,20830.00,378700,7921019000
2015-10-07,21510.00,21575.00,20930.00,21085.00,535100,11314791000
2015-10-06,21800.00,21970.00,21370.00,21445.00,438200,9478523000
2015-10-05,21205.00,21495.00,21060.00,21420.00,534600,11407223500
2015-10-02,20510.00,21025.00,20295.00,20925.00,468000,9731574000
2015-10-01,20415.00,20850.00,20170.00,20710.00,735200,15101999000
2015-09-30,19710.00,20230.00,19640.00,20060.00,604900,12058120000
2015-09-29,19805.00,19980.00,19180.00,19310.00,781200,15262421000
2015-09-28,20510.00,20740.00,19995.00,20100.00,623200,12629801500
2015-09-25,20540.00,20640.00,20065.00,20510.00,660800,13475994000
2015-09-24,20600.00,20875.00,20180.00,20180.00,1071400,21847221000
2015-09-18,21360.00,21580.00,20905.00,21055.00,696200,14703834500
2015-09-17,21800.00,21815.00,20945.00,21295.00,1271500,27021689500
2015-09-16,23000.00,23025.00,21380.00,21645.00,1004500,22062917000
2015-09-15,23105.00,23175.00,22525.00,22620.00,714700,16296208500
2015-09-14,23250.00,23335.00,22715.00,22915.00,435200,10028726000
2015-09-11,23000.00,23705.00,23000.00,23070.00,1143100,26609725000
2015-09-10,23290.00,23490.00,22910.00,23405.00,784100,18242502500
2015-09-09,23300.00,23600.00,22965.00,23600.00,798100,18688296500
2015-09-08,23055.00,23295.00,22320.00,22355.00,725400,16397645000
2015-09-07,22700.00,23065.00,22460.00,22855.00,683100,15548727500
2015-09-04,23805.00,23875.00,22950.00,23175.00,820600,19165305500
2015-09-03,24180.00,24305.00,23445.00,23515.00,715200,16972750000
2015-09-02,23300.00,24535.00,23210.00,23770.00,859000,20539869000
2015-09-01,24835.00,25170.00,23800.00,23865.00,1068200,25990129000
2015-08-31,24325.00,25250.00,24010.00,25010.00,1063800,26425407500
2015-08-28,24490.00,24685.00,23700.00,24170.00,859800,20722323500
2015-08-27,23995.00,24400.00,23275.00,23355.00,1038000,24509781000
2015-08-26,22610.00,23945.00,22610.00,23880.00,1123100,26190465500
2015-08-25,21140.00,23430.00,21070.00,22350.00,1793000,39981821000
2015-08-24,22690.00,23100.00,21765.00,21790.00,1819200,40642568500
2015-08-21,24300.00,24465.00,23580.00,23720.00,1036600,24835689000
2015-08-20,25170.00,25530.00,24875.00,24915.00,780000,19613076500
2015-08-19,24920.00,25695.00,24710.00,24800.00,1036400,26084086000
2015-08-18,24490.00,24895.00,24355.00,24750.00,535500,13246585000
2015-08-17,24360.00,24895.00,24270.00,24555.00,539500,13258618000
2015-08-14,24045.00,24180.00,23550.00,24025.00,636900,15246083000
2015-08-13,23995.00,24550.00,23895.00,24205.00,622500,15098310500
2015-08-12,24695.00,25230.00,23850.00,24320.00,1033400,25215061500
2015-08-11,24900.00,26050.00,24385.00,24685.00,1917400,48298694500
2015-08-10,23315.00,24600.00,23220.00,24600.00,1225500,29645772500
2015-08-07,23200.00,23435.00,22965.00,23275.00,652600,15132213000
2015-08-06,23000.00,23180.00,22875.00,22950.00,799300,18383540500
2015-08-05,22500.00,23175.00,22425.00,23000.00,985500,22489132000
2015-08-04,22250.00,22420.00,22190.00,22320.00,677600,15108226500
2015-08-03,21770.00,22275.00,21705.00,22185.00,541500,11930823500
2015-07-31,22190.00,22300.00,21800.00,21810.00,758500,16670514500
2015-07-30,22000.00,22450.00,21460.00,22195.00,1867200,41190162500
2015-07-29,20945.00,20970.00,20500.00,20500.00,360700,7471059500
2015-07-28,20700.00,20990.00,20490.00,20725.00,535700,11111763000
2015-07-27,21400.00,21425.00,20770.00,20835.00,752000,15834078500
2015-07-24,21900.00,22100.00,21615.00,21755.00,647300,14127106000
2015-07-23,21650.00,21880.00,21605.00,21880.00,571600,12465156500
